sim,LR_full_cov(%),LR_full_set,MLP_full_cov(%),MLP_full_set,LR_p_cov(%),LR_p_set
0,90.61,3.4642,90.84,3.3841,90.53999999999999,3.4609
1,90.66,3.473,90.42999999999999,3.3603,90.78,3.4825
2,89.66,3.3015,89.85,3.2489,89.66,3.2983
3,90.83,3.4299,91.12,3.3511,90.89,3.4422
4,90.34,3.3478,90.83,3.3453,90.36999999999999,3.3608
5,90.16,3.3959,90.0,3.3084,90.13,3.397
6,90.48,3.4633,90.64,3.398,90.53,3.4897
7,90.29,3.4124,89.8,3.254,90.11,3.3926
8,89.82,3.3351,89.94,3.3337,90.07,3.3842
9,90.29,3.3756,90.24,3.3397,90.19,3.3786
