Sim,K0,Kept,Missing,KeepViews,CLF_Cov,CLF_Set,MinPV_Cov,MinPV_Set,Fisher_Cov,Fisher_Set,AdjF_Cov,AdjF_Set,WAvgL_Cov,WAvgL_Set
0,6,6,0,"[0, 1, 2, 3, 4, 5]",90.64999999999999,4.1562,94.74000000000001,6.126,81.86,3.2806,90.46,4.5609,96.46000000000001,6.2948
0,6,5,1,"[0, 1, 2, 3, 4]",90.59,4.2171,94.06,5.9119,82.82000000000001,3.3869,89.99000000000001,4.5074,96.17,6.1326
0,6,5,1,"[0, 1, 2, 3, 5]",90.42,4.2626,94.0,6.0158,83.17999999999999,3.4648,90.35,4.6088,96.39,6.2932
0,6,5,1,"[0, 1, 2, 4, 5]",90.59,4.2973,93.97,5.9897,83.09,3.5269,90.66,4.6797,96.39999999999999,6.3319
0,6,5,1,"[0, 1, 3, 4, 5]",90.69,4.2267,94.08999999999999,5.9981,82.74000000000001,3.4714,90.60000000000001,4.6362,96.39,6.2815
0,6,5,1,"[0, 2, 3, 4, 5]",90.19,4.1634,94.31,5.9934,83.08,3.4443,90.60000000000001,4.609,96.33,6.2801
0,6,5,1,"[1, 2, 3, 4, 5]",90.24,4.2044,94.46,5.9752,82.96,3.4184,90.45,4.5858,96.2,6.1542
0,6,4,2,"[1, 2, 3, 5]",90.41,4.3858,94.23,5.948,84.28,3.6398,90.47,4.6325,95.98,6.128
0,6,4,2,"[1, 2, 4, 5]",89.87,4.3113,94.02000000000001,5.8988,84.44,3.7094,90.59,4.7019,95.99,6.1944
0,6,4,2,"[0, 1, 2, 4]",90.96,4.4387,93.53,5.806,84.19,3.6638,90.28,4.6295,95.97,6.158
0,6,4,2,"[1, 2, 3, 4]",90.18,4.371,94.33,5.8493,84.11999999999999,3.5534,90.25,4.5407,95.58,5.8782
0,6,4,2,"[0, 2, 3, 5]",90.55,4.366,93.87,5.943,84.39999999999999,3.6774,90.53,4.6445,96.21,6.2896
0,6,4,2,"[0, 1, 2, 5]",90.42999999999999,4.5555,93.58999999999999,5.9848,84.03,3.7982,90.42999999999999,4.7818,96.1,6.3369
