sim,seed,K,alpha,nt_frac,nt_sub,nt_full,cov_cf,size_cf,cov_adjF,size_adjF
0,42,4,0.1,0.1,1225,12249,0.8987,3.6294,0.9003,3.7098
0,42,4,0.1,0.2,2450,12249,0.9043,3.5785,0.9018,3.7237
0,42,4,0.1,0.3,3675,12249,0.9036,3.5139,0.9033,3.756
0,42,4,0.1,0.4,4900,12249,0.8993,3.4911,0.9009,3.7139
0,42,4,0.1,0.5,6124,12249,0.9053,3.5078,0.9022,3.7241
0,42,4,0.1,0.6,7349,12249,0.9067,3.5244,0.9006,3.6993
0,42,4,0.1,0.7,8574,12249,0.9045,3.4727,0.9008,3.7078
0,42,4,0.1,0.8,9799,12249,0.9051,3.4944,0.9006,3.6992
0,42,4,0.1,0.9,11024,12249,0.9051,3.4585,0.9008,3.7083
0,42,4,0.1,1.0,12249,12249,0.9033,3.4328,0.9005,3.7034
1,43,4,0.1,0.1,1225,12249,0.9127,3.7988,0.9053,3.7843
1,43,4,0.1,0.2,2450,12249,0.9091,3.6776,0.9039,3.7077
1,43,4,0.1,0.3,3675,12249,0.9072,3.6093,0.9043,3.7066
1,43,4,0.1,0.4,4900,12249,0.9072,3.5348,0.9069,3.7412
1,43,4,0.1,0.5,6124,12249,0.9111,3.5847,0.9046,3.704
1,43,4,0.1,0.6,7349,12249,0.9084,3.5295,0.9048,3.7062
1,43,4,0.1,0.7,8574,12249,0.9066,3.4782,0.9042,3.699
1,43,4,0.1,0.8,9799,12249,0.907,3.505,0.9044,3.7052
1,43,4,0.1,0.9,11024,12249,0.9088,3.5182,0.9045,3.7117
1,43,4,0.1,1.0,12249,12249,0.9086,3.4847,0.9048,3.7057
2,44,4,0.1,0.1,1225,12249,0.9018,3.6034,0.9058,3.7607
2,44,4,0.1,0.2,2450,12249,0.8968,3.5075,0.905,3.787
2,44,4,0.1,0.3,3675,12249,0.8957,3.4078,0.9006,3.7196
2,44,4,0.1,0.4,4900,12249,0.8956,3.3558,0.9016,3.7262
2,44,4,0.1,0.5,6124,12249,0.8964,3.342,0.9013,3.7225
2,44,4,0.1,0.6,7349,12249,0.8984,3.3729,0.9025,3.7258
2,44,4,0.1,0.7,8574,12249,0.8981,3.3643,0.9012,3.7058
2,44,4,0.1,0.8,9799,12249,0.899,3.3377,0.9008,3.7116
