sim,seed,K,alpha,nt_frac,nt_sub,nt_full,cov_clf_lr,size_clf_lr,cov_clf_mlp,size_clf_mlp,cov_adjF,size_adjF
0,41,4,0.1,0.1,1225,12249,0.9029,16.7145,0.9056,18.1838,0.8942,11.9602
0,41,4,0.1,0.2,2450,12249,0.9002,13.7483,0.9033,14.5171,0.8917,11.1091
0,41,4,0.1,0.3,3675,12249,0.9065,14.5669,0.9008,13.6339,0.9002,11.4784
0,41,4,0.1,0.4,4900,12249,0.8999,13.0793,0.9056,13.1871,0.8998,11.5474
0,41,4,0.1,0.5,6124,12249,0.9009,12.8012,0.9043,12.9573,0.8988,11.4802
0,41,4,0.1,0.6,7349,12249,0.9039,12.4394,0.9056,12.002,0.9002,11.2121
0,41,4,0.1,0.7,8574,12249,0.8992,12.1489,0.8988,11.7188,0.9006,11.4089
0,41,4,0.1,0.8,9799,12249,0.9021,12.0704,0.9005,11.7067,0.9018,11.4463
0,41,4,0.1,0.9,11024,12249,0.9008,12.1561,0.8998,11.3658,0.9006,11.4466
0,41,4,0.1,1.0,12249,12249,0.8995,12.1265,0.9013,11.2759,0.9012,11.4365
1,42,4,0.1,0.1,1225,12249,0.9039,16.6766,0.9102,18.6266,0.8942,11.1691
1,42,4,0.1,0.2,2450,12249,0.9086,14.8577,0.9085,15.0638,0.8984,11.3854
1,42,4,0.1,0.3,3675,12249,0.9086,14.5928,0.9075,13.7755,0.9012,11.4058
1,42,4,0.1,0.4,4900,12249,0.913,13.9258,0.9104,13.4105,0.9011,11.3571
1,42,4,0.1,0.5,6124,12249,0.9013,13.2863,0.9061,13.1514,0.9044,11.6171
1,42,4,0.1,0.6,7349,12249,0.9107,13.7008,0.904,12.0965,0.9036,11.5994
1,42,4,0.1,0.7,8574,12249,0.9061,12.7113,0.9048,12.0795,0.9055,11.6519
1,42,4,0.1,0.8,9799,12249,0.9054,13.0989,0.9018,11.7045,0.9038,11.5369
1,42,4,0.1,0.9,11024,12249,0.9072,12.9447,0.9077,12.4472,0.9037,11.4776
1,42,4,0.1,1.0,12249,12249,0.9088,12.7356,0.9008,11.691,0.9033,11.4727
2,43,4,0.1,0.1,1225,12249,0.9016,17.1108,0.9028,17.5486,0.8901,11.1565
2,43,4,0.1,0.2,2450,12249,0.9044,14.1015,0.9033,15.1244,0.8961,11.4997
2,43,4,0.1,0.3,3675,12249,0.914,14.364,0.9047,13.9566,0.8997,11.5339
2,43,4,0.1,0.4,4900,12249,0.9102,13.6335,0.907,13.5624,0.9009,11.5149
2,43,4,0.1,0.5,6124,12249,0.9059,13.7098,0.9062,13.5736,0.9015,11.4502
2,43,4,0.1,0.6,7349,12249,0.9088,13.3336,0.9036,12.0648,0.9016,11.5981
2,43,4,0.1,0.7,8574,12249,0.9071,13.3591,0.9051,12.5978,0.9023,11.5592
2,43,4,0.1,0.8,9799,12249,0.9071,12.8481,0.907,12.3726,0.9041,11.7606
2,43,4,0.1,0.9,11024,12249,0.9018,12.5021,0.907,12.1862,0.9034,11.6123
2,43,4,0.1,1.0,12249,12249,0.9031,12.1409,0.9064,11.9051,0.9028,11.5838
3,44,4,0.1,0.1,1225,12249,0.9184,17.9866,0.9131,19.7601,0.8897,11.1857
3,44,4,0.1,0.2,2450,12249,0.9177,16.1694,0.9061,15.6262,0.8941,11.524
3,44,4,0.1,0.3,3675,12249,0.9125,15.6052,0.9139,14.7502,0.8912,11.2627
3,44,4,0.1,0.4,4900,12249,0.9168,14.7889,0.9161,14.1144,0.8986,11.5175
3,44,4,0.1,0.5,6124,12249,0.9189,14.489,0.915,14.0158,0.8972,11.3222
3,44,4,0.1,0.6,7349,12249,0.9203,14.8844,0.9144,13.3755,0.9005,11.5651
3,44,4,0.1,0.7,8574,12249,0.9204,14.3486,0.9115,13.2296,0.8993,11.5214
3,44,4,0.1,0.8,9799,12249,0.9146,13.8004,0.9128,12.6317,0.9008,11.4758
3,44,4,0.1,0.9,11024,12249,0.9149,13.6805,0.9122,12.8858,0.8998,11.5147
3,44,4,0.1,1.0,12249,12249,0.9174,13.6851,0.9142,12.6639,0.8991,11.4459
4,45,4,0.1,0.1,1225,12249,0.905,16.3568,0.907,18.428,0.8863,11.1582
4,45,4,0.1,0.2,2450,12249,0.9111,15.3102,0.9066,15.7472,0.8876,11.0543
4,45,4,0.1,0.3,3675,12249,0.9109,13.9226,0.907,13.7623,0.8946,11.5746
4,45,4,0.1,0.4,4900,12249,0.9136,13.7124,0.9035,12.8774,0.8939,11.2466
4,45,4,0.1,0.5,6124,12249,0.901,12.9298,0.9026,12.0632,0.8948,11.4118
4,45,4,0.1,0.6,7349,12249,0.9057,12.7641,0.9062,12.3851,0.8907,10.9796
4,45,4,0.1,0.7,8574,12249,0.9059,12.4617,0.9023,12.057,0.8919,11.189
4,45,4,0.1,0.8,9799,12249,0.9039,12.1714,0.9057,12.0162,0.8925,11.2088
4,45,4,0.1,0.9,11024,12249,0.9069,12.1467,0.9062,12.1737,0.8924,11.134
4,45,4,0.1,1.0,12249,12249,0.9097,12.1944,0.9038,11.5928,0.8916,11.1279
