sim,seed,K,alpha,nt_frac,nt_sub,nt_full,cov_clf_lr,size_clf_lr,cov_clf_mlp,size_clf_mlp,cov_adjF,size_adjF
0,41,4,0.1,0.1,1225,12249,0.9029,11.3445,0.8983,12.6928,0.8818,8.0756
0,41,4,0.1,0.2,2450,12249,0.9032,9.5606,0.9055,9.7997,0.8956,8.2303
0,41,4,0.1,0.3,3675,12249,0.8979,8.593,0.8999,8.8554,0.9007,8.2968
0,41,4,0.1,0.4,4900,12249,0.8982,8.7933,0.9,8.3673,0.8947,7.9763
0,41,4,0.1,0.5,6124,12249,0.9045,8.75,0.9114,9.0304,0.8991,8.1897
0,41,4,0.1,0.6,7349,12249,0.9097,8.7487,0.9078,8.3203,0.9003,8.1107
0,41,4,0.1,0.7,8574,12249,0.9016,8.2041,0.9019,8.077,0.8981,8.1042
0,41,4,0.1,0.8,9799,12249,0.8991,8.0984,0.9049,8.3508,0.8982,8.0775
0,41,4,0.1,0.9,11024,12249,0.9061,8.0658,0.9051,7.7292,0.8989,8.0757
0,41,4,0.1,1.0,12249,12249,0.9042,7.8811,0.9051,7.7351,0.8988,8.1329
1,42,4,0.1,0.1,1225,12249,0.9222,13.2124,0.9113,13.7358,0.8927,8.0177
1,42,4,0.1,0.2,2450,12249,0.9083,10.4829,0.9067,10.4436,0.8937,7.9691
1,42,4,0.1,0.3,3675,12249,0.908,9.8962,0.9081,9.7816,0.8941,8.0527
1,42,4,0.1,0.4,4900,12249,0.9064,9.426,0.9058,9.3633,0.8969,8.0335
1,42,4,0.1,0.5,6124,12249,0.9115,9.7,0.906,8.991,0.8967,8.0103
1,42,4,0.1,0.6,7349,12249,0.9086,9.1354,0.9082,8.8548,0.8966,8.081
1,42,4,0.1,0.7,8574,12249,0.9096,9.0064,0.9078,8.8771,0.8962,8.0695
1,42,4,0.1,0.8,9799,12249,0.9066,8.6128,0.907,8.747,0.8959,8.0229
1,42,4,0.1,0.9,11024,12249,0.9092,8.9311,0.9037,8.4556,0.8978,8.0774
1,42,4,0.1,1.0,12249,12249,0.9104,8.8239,0.909,8.4375,0.8965,8.0124
2,43,4,0.1,0.1,1225,12249,0.9019,11.7952,0.9,12.471,0.9027,8.964
2,43,4,0.1,0.2,2450,12249,0.8984,9.6442,0.9024,9.9336,0.8925,8.0913
2,43,4,0.1,0.3,3675,12249,0.9064,9.6548,0.9016,9.4667,0.8953,8.0703
2,43,4,0.1,0.4,4900,12249,0.9044,9.5707,0.9066,9.4762,0.9002,8.4632
2,43,4,0.1,0.5,6124,12249,0.91,9.2235,0.9131,9.1226,0.9015,8.3004
2,43,4,0.1,0.6,7349,12249,0.9061,8.6884,0.9111,8.6879,0.9007,8.276
2,43,4,0.1,0.7,8574,12249,0.909,9.0528,0.9073,8.612,0.9027,8.331
2,43,4,0.1,0.8,9799,12249,0.9062,8.4297,0.911,8.7061,0.9008,8.3054
2,43,4,0.1,0.9,11024,12249,0.9038,8.0682,0.9135,8.5375,0.8995,8.2598
2,43,4,0.1,1.0,12249,12249,0.9048,8.0948,0.9119,8.359,0.8998,8.2244
3,44,4,0.1,0.1,1225,12249,0.908,12.6611,0.9043,14.2528,0.8879,8.125
3,44,4,0.1,0.2,2450,12249,0.9109,11.2675,0.9108,11.9965,0.8985,8.3745
3,44,4,0.1,0.3,3675,12249,0.9148,11.1564,0.9125,10.9053,0.9013,8.712
3,44,4,0.1,0.4,4900,12249,0.9096,10.4132,0.9108,9.7806,0.8981,8.2784
3,44,4,0.1,0.5,6124,12249,0.9051,9.9823,0.9092,9.8736,0.9033,8.5848
3,44,4,0.1,0.6,7349,12249,0.9096,9.9661,0.9061,9.6056,0.8999,8.4662
3,44,4,0.1,0.7,8574,12249,0.9096,9.8162,0.9099,9.7023,0.9021,8.5427
3,44,4,0.1,0.8,9799,12249,0.9063,9.3616,0.9052,9.0031,0.901,8.5087
3,44,4,0.1,0.9,11024,12249,0.9069,9.5258,0.9085,9.0834,0.9007,8.5516
3,44,4,0.1,1.0,12249,12249,0.9098,9.5805,0.9083,8.9414,0.8999,8.5261
4,45,4,0.1,0.1,1225,12249,0.9061,11.8852,0.9066,12.734,0.8788,7.3631
4,45,4,0.1,0.2,2450,12249,0.902,9.4123,0.8999,9.4572,0.8868,7.8041
4,45,4,0.1,0.3,3675,12249,0.901,8.6371,0.8958,8.4401,0.8911,7.8085
4,45,4,0.1,0.4,4900,12249,0.8934,7.8889,0.8964,8.2793,0.8919,7.9013
4,45,4,0.1,0.5,6124,12249,0.9014,8.2718,0.8991,7.666,0.8918,7.6975
4,45,4,0.1,0.6,7349,12249,0.9026,8.3793,0.8937,7.5734,0.8909,7.6715
4,45,4,0.1,0.7,8574,12249,0.9059,8.4599,0.899,7.3755,0.8916,7.7584
4,45,4,0.1,0.8,9799,12249,0.9026,7.766,0.8987,7.8082,0.8937,7.7814
4,45,4,0.1,0.9,11024,12249,0.9005,7.6292,0.8989,7.5159,0.8924,7.7104
4,45,4,0.1,1.0,12249,12249,0.9019,7.6403,0.8973,7.2859,0.8926,7.7221
5,46,4,0.1,0.1,1225,12249,0.8986,10.1028,0.8979,11.378,0.8939,7.6047
5,46,4,0.1,0.2,2450,12249,0.9107,9.8782,0.906,9.8477,0.8981,7.4663
5,46,4,0.1,0.3,3675,12249,0.9114,9.2468,0.9061,9.0204,0.9004,7.7343
5,46,4,0.1,0.4,4900,12249,0.9087,8.3669,0.9075,8.7761,0.9022,7.8039
5,46,4,0.1,0.5,6124,12249,0.9097,8.6011,0.9094,8.3967,0.9028,7.8303
5,46,4,0.1,0.6,7349,12249,0.9121,8.2289,0.9115,8.2671,0.8988,7.5084
5,46,4,0.1,0.7,8574,12249,0.9094,8.1309,0.9092,7.8344,0.9009,7.5299
5,46,4,0.1,0.8,9799,12249,0.9132,8.1678,0.9173,8.3114,0.9033,7.7182
5,46,4,0.1,0.9,11024,12249,0.9108,8.0533,0.907,7.6252,0.9007,7.6641
5,46,4,0.1,1.0,12249,12249,0.9135,8.0136,0.9092,7.8524,0.9014,7.6619
6,47,4,0.1,0.1,1225,12249,0.9097,12.7849,0.9096,14.8359,0.8964,8.6398
6,47,4,0.1,0.2,2450,12249,0.8983,10.5407,0.9047,11.2096,0.8992,8.6117
6,47,4,0.1,0.3,3675,12249,0.9066,10.0118,0.9066,10.1657,0.8987,8.3594
6,47,4,0.1,0.4,4900,12249,0.9095,9.6792,0.9045,9.6368,0.8992,8.1738
6,47,4,0.1,0.5,6124,12249,0.9069,9.6607,0.9047,9.3221,0.901,8.5119
6,47,4,0.1,0.6,7349,12249,0.9051,9.3025,0.9029,9.1702,0.9002,8.3023
6,47,4,0.1,0.7,8574,12249,0.9116,9.7817,0.9092,9.3139,0.9017,8.4593
6,47,4,0.1,0.8,9799,12249,0.9081,9.2097,0.9068,9.0479,0.9016,8.3796
6,47,4,0.1,0.9,11024,12249,0.908,8.9622,0.908,8.8942,0.9017,8.3749
6,47,4,0.1,1.0,12249,12249,0.9093,8.948,0.9097,9.0314,0.9017,8.3714
7,48,4,0.1,0.1,1225,12249,0.9049,11.6453,0.9026,13.1786,0.89,7.7714
7,48,4,0.1,0.2,2450,12249,0.9053,9.7478,0.9083,10.1899,0.892,8.0055
7,48,4,0.1,0.3,3675,12249,0.9033,9.2528,0.9031,8.7618,0.8931,8.0275
7,48,4,0.1,0.4,4900,12249,0.9073,9.2045,0.9074,9.5234,0.8964,7.8585
7,48,4,0.1,0.5,6124,12249,0.9054,8.869,0.9066,8.422,0.8948,7.8947
7,48,4,0.1,0.6,7349,12249,0.9082,8.695,0.9063,8.5591,0.8934,7.7375
7,48,4,0.1,0.7,8574,12249,0.9074,8.3841,0.906,8.3291,0.896,7.8751
7,48,4,0.1,0.8,9799,12249,0.9052,8.1581,0.9052,8.0275,0.8943,7.8416
7,48,4,0.1,0.9,11024,12249,0.9093,8.5564,0.9082,8.1314,0.8953,7.8594
7,48,4,0.1,1.0,12249,12249,0.9082,8.0999,0.9093,7.9754,0.8949,7.8492
8,49,4,0.1,0.1,1225,12249,0.9019,10.9046,0.9046,12.1559,0.8919,8.0644
8,49,4,0.1,0.2,2450,12249,0.8976,9.5911,0.9054,9.6165,0.8918,7.4486
8,49,4,0.1,0.3,3675,12249,0.8997,9.2906,0.9019,8.8508,0.896,7.6224
8,49,4,0.1,0.4,4900,12249,0.898,9.0668,0.8999,8.9264,0.8959,7.7347
8,49,4,0.1,0.5,6124,12249,0.9058,9.1058,0.9034,8.724,0.8957,7.6906
8,49,4,0.1,0.6,7349,12249,0.9003,8.7635,0.9019,8.3577,0.8977,7.8651
8,49,4,0.1,0.7,8574,12249,0.9006,8.4519,0.901,8.2365,0.8968,7.7336
8,49,4,0.1,0.8,9799,12249,0.8989,8.2882,0.9048,8.3456,0.8961,7.7178
8,49,4,0.1,0.9,11024,12249,0.8999,8.1244,0.9012,8.038,0.8977,7.7553
8,49,4,0.1,1.0,12249,12249,0.8972,8.1278,0.9013,8.2595,0.8978,7.757
9,50,4,0.1,0.1,1225,12249,0.902,12.0061,0.9056,12.7822,0.8804,7.4576
